Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1860-04,-0.30610728,-0.5380226,-0.074192025
1860-05,-0.36362675,-0.5794941,-0.14775938
1860-06,-0.21145956,-0.45290247,0.029983336
1860-07,-0.1847646,-0.40834823,0.038819034
1860-08,-0.1142386,-0.37883177,0.15035456
1860-09,-0.13131975,-0.36443615,0.10179664
1860-10,-0.3459595,-0.5577351,-0.13418393
1860-11,-0.60494,-0.8451416,-0.36473843
1860-12,-0.774231,-1.0370945,-0.51136756
1861-01,-0.91803956,-1.1972613,-0.6388177
1861-02,-0.6245886,-0.99098545,-0.25819176
1861-03,-0.41567025,-0.8173928,-0.013947655
1861-04,-0.38623625,-0.7137754,-0.05869713
1861-05,-0.6607519,-0.9770289,-0.34447485
1861-06,-0.25202128,-0.53403753,0.029994994
1861-07,-0.29750192,-0.550664,-0.044339824
1861-08,-0.041093126,-0.29339635,0.2112101
1861-09,-0.27033228,-0.5080883,-0.03257631
1861-10,-0.47664645,-0.67291355,-0.28037935
1861-11,-0.45758948,-0.70344317,-0.21173581
1861-12,-0.35085425,-0.6705306,-0.031177888
1862-01,-0.82483715,-1.1399956,-0.5096788
1862-02,-0.7155356,-1.0883836,-0.34268767
1862-03,-0.5353963,-0.9173056,-0.15348701
1862-04,-0.52208453,-0.8259743,-0.21819483
1862-05,-0.3478659,-0.6414074,-0.054324463
1862-06,-0.3066114,-0.554004,-0.05921875
1862-07,-0.3448706,-0.5859212,-0.10381997
1862-08,-0.4561808,-0.72345316,-0.18890849
1862-09,-0.3624242,-0.58751315,-0.13733529
1862-10,-0.44867027,-0.66414434,-0.23319624
1862-11,-0.6777555,-0.93400127,-0.42150965
1862-12,-0.8945406,-1.2084035,-0.58067775
1863-01,-0.07634223,-0.40096194,0.24827747
1863-02,-0.24953309,-0.66414887,0.16508271
1863-03,-0.3549987,-0.7145881,0.004590684
1863-04,-0.28827205,-0.5977736,0.021229519
1863-05,-0.3840041,-0.66699326,-0.10101496
1863-06,-0.36912903,-0.6320461,-0.106212005
1863-07,-0.3123347,-0.5947716,-0.029897762
1863-08,-0.29738235,-0.57519704,-0.019567715
1863-09,-0.35204113,-0.61949664,-0.08458564
1863-10,-0.5043272,-0.742704,-0.26595044
1863-11,-0.44055805,-0.68936455,-0.19175154
1863-12,-0.50319576,-0.817736,-0.1886555
1864-01,-0.8532364,-1.2133667,-0.493106
1864-02,-0.5934415,-1.0275025,-0.15938036
1864-03,-0.49939686,-0.8818438,-0.11694993
1864-04,-0.54358864,-0.87270206,-0.21447514
1864-05,-0.32347065,-0.6318895,-0.015051826
1864-06,-0.11254485,-0.38457897,0.15948927
1864-07,-0.25960582,-0.530554,0.011342296
1864-08,-0.3079488,-0.57993907,-0.035958502
1864-09,-0.4425317,-0.6966836,-0.18837978
1864-10,-0.6029094,-0.8257851,-0.38003364
1864-11,-0.45623875,-0.70915705,-0.20332046
1864-12,-0.5903272,-0.9233383,-0.25731608
1865-01,-0.17609702,-0.4980693,0.14587525
1865-02,-0.46668038,-0.926016,-0.00734482
1865-03,-0.66122115,-1.0886513,-0.23379107
1865-04,-0.4481533,-0.77840537,-0.117901206
1865-05,-0.37767282,-0.678569,-0.07677658
1865-06,-0.1958778,-0.45268297,0.060927358
1865-07,-0.21560228,-0.49204847,0.06084391
1865-08,-0.21177977,-0.47747025,0.053910702
1865-09,-0.17093047,-0.43420225,0.0923413
1865-10,-0.26942545,-0.51537,-0.023480851
1865-11,-0.33705235,-0.59656864,-0.077536084
1865-12,-0.4605614,-0.79645264,-0.124670126
1866-01,-0.1320992,-0.47347298,0.2092746
1866-02,-0.40108874,-0.778535,-0.023642521
1866-03,-0.6821522,-1.0710651,-0.29323936
1866-04,-0.4543501,-0.7766433,-0.132057
1866-05,-0.5719213,-0.8795296,-0.26431298
1866-06,-0.0985114,-0.35920775,0.16218495
1866-07,-0.00851037,-0.26040974,0.24338901
1866-08,-0.2494715,-0.49963456,0.00069159
1866-09,-0.37775257,-0.62569046,-0.12981468
1866-10,-0.4206272,-0.6282327,-0.21302171
1866-11,-0.29829076,-0.52906585,-0.06751567
1866-12,-0.40035242,-0.7012374,-0.09946747
1867-01,-0.40518752,-0.74488693,-0.065488115
1867-02,-0.3535976,-0.78066856,0.07347331
1867-03,-0.6812089,-1.0579066,-0.3045111
1867-04,-0.4213023,-0.7407834,-0.1018212
1867-05,-0.57436174,-0.8913324,-0.25739112
1867-06,-0.35023195,-0.6303714,-0.07009248
1867-07,-0.25301105,-0.5183183,0.01229622
1867-08,-0.33047715,-0.60988814,-0.051066175
1867-09,-0.14789358,-0.40636784,0.11058068
1867-10,-0.12525536,-0.35672548,0.106214754
1867-11,-0.19566038,-0.43645424,0.045133475
1867-12,-0.44537255,-0.7262891,-0.16445602
1868-01,-0.6848776,-1.044338,-0.32541716
1868-02,-0.69327545,-1.1240178,-0.2625332
1868-03,-0.33465612,-0.727329,0.058016773
